Date;Close
15.03.2020;5392,3
16.03.2020;5014,5
17.03.2020;5225,6
18.03.2020;5238,4
19.03.2020;6191,2
20.03.2020;6198,8
21.03.2020;6185,1
22.03.2020;5830,3
23.03.2020;6416,3
24.03.2020;6734,8
25.03.2020;6681,1
26.03.2020;6716,4
27.03.2020;6469,8
28.03.2020;6242,2
29.03.2020;5922
30.03.2020;6429,8
31.03.2020;6438,6
1.04.2020;6606,8
2.04.2020;6793,6
3.04.2020;6733,4
4.04.2020;6867,5
5.04.2020;6791,1
6.04.2020;7271,8
7.04.2020;7176,4
8.04.2020;7334,1
9.04.2020;7302,1
10.04.2020;6865,5
11.04.2020;6859,1
12.04.2020;6971,1
13.04.2020;6845
14.04.2020;6842,4
15.04.2020;6642,1
16.04.2020;7116,8
17.04.2020;7096,2
18.04.2020;7257,7
19.04.2020;7189,4
20.04.2020;6882
21.04.2020;6880,3
22.04.2020;7117,2
23.04.2020;7429,7
24.04.2020;7550,9
25.04.2020;7569,9
26.04.2020;7679,9
27.04.2020;7795,6
28.04.2020;7807,1
29.04.2020;8801
30.04.2020;8658,6
1.05.2020;8864,8
2.05.2020;8988,6
3.05.2020;8897,5
4.05.2020;8912,7
5.05.2020;9003,1
6.05.2020;9268,8
7.05.2020;9951,5
8.05.2020;9842,7
9.05.2020;9593,9
10.05.2020;8756,4
11.05.2020;8601,8
12.05.2020;8804,5
13.05.2020;9270
14.05.2020;9733,7
15.05.2020;9328,2
16.05.2020;9377
17.05.2020;9670,7
18.05.2020;9726,6
19.05.2020;9729
20.05.2020;9523
21.05.2020;9081,8
22.05.2020;9182,6
23.05.2020;9209,3
24.05.2020;8790,4
25.05.2020;8906,9
26.05.2020;8835,1
27.05.2020;9181
28.05.2020;9525,8
29.05.2020;9439,1
30.05.2020;9700,4
31.05.2020;9461,1
1.06.2020;10167,3
2.06.2020;9529,8
3.06.2020;9656,7
4.06.2020;9800,6
5.06.2020;9665,5
6.06.2020;9653,7
7.06.2020;9758,9
8.06.2020;9771,5
9.06.2020;9795,7
10.06.2020;9870,1
11.06.2020;9321,8
12.06.2020;9480,8
13.06.2020;9475,3
14.06.2020;9386,8
15.06.2020;9450,7
16.06.2020;9538
17.06.2020;9480,3
18.06.2020;9411,8
19.06.2020;9288
20.06.2020;9332,3
21.06.2020;9303,6
22.06.2020;9648,7
23.06.2020;9629,7
24.06.2020;9313,6
25.06.2020;9264,8
26.06.2020;9162,9
27.06.2020;9045,4
28.06.2020;9143,6
29.06.2020;9190,9
30.06.2020;9138
1.07.2020;9228,3
2.07.2020;9123,4
3.07.2020;9087,3
4.07.2020;9132,5
5.07.2020;9073,9
6.07.2020;9375,5
7.07.2020;9252,3
8.07.2020;9428,3
9.07.2020;9278
10.07.2020;9278,8
11.07.2020;9240,4
12.07.2020;9276,5
13.07.2020;9243,6
14.07.2020;9243,2
15.07.2020;9192,8
16.07.2020;9132,2
17.07.2020;9151,4
18.07.2020;9159
19.07.2020;9185,8
20.07.2020;9164,2
21.07.2020;9374,9
22.07.2020;9525,4
23.07.2020;9581,1
24.07.2020;9536,9
25.07.2020;9677,1
26.07.2020;9905,2
27.07.2020;10990,9
28.07.2020;10912,8
29.07.2020;11100,5
30.07.2020;11111,2
31.07.2020;11323,5
1.08.2020;11759,6
2.08.2020;11053,6
3.08.2020;11246,4
4.08.2020;11205,9
5.08.2020;11747
6.08.2020;11779,8
7.08.2020;11601,5
8.08.2020;11754,1
9.08.2020;11675,7
10.08.2020;11878,1
11.08.2020;11410,5
12.08.2020;11584,9
13.08.2020;11784,1
14.08.2020;11768,9
15.08.2020;11865,7
16.08.2020;11892,8
17.08.2020;12254,4
18.08.2020;11991,2
19.08.2020;11758,3
20.08.2020;11878,4
21.08.2020;11592,5
22.08.2020;11681,8
23.08.2020;11664,9
24.08.2020;11774,6
25.08.2020;11366,1
26.08.2020;11488,4
27.08.2020;11323,4
28.08.2020;11542,5
29.08.2020;11506,9
30.08.2020;11711,5
31.08.2020;11680,8
1.09.2020;11970,5
2.09.2020;11414
3.09.2020;10245,3
4.09.2020;10511,8
5.09.2020;10169,6
6.09.2020;10280,4
7.09.2020;10369,6
8.09.2020;10131,5
9.09.2020;10242,4
10.09.2020;10363,1
11.09.2020;10400,9
12.09.2020;10442,2
13.09.2020;10323,8
14.09.2020;10680,8
15.09.2020;10797
16.09.2020;10974,9
17.09.2020;10949
18.09.2020;10944,6
19.09.2020;11094,4
20.09.2020;10938,3
21.09.2020;10462,3
22.09.2020;10538,5
23.09.2020;10246,2
24.09.2020;10760,1
25.09.2020;10692,7
26.09.2020;10750,7
27.09.2020;10775,3
28.09.2020;10709,7
29.09.2020;10844,6
30.09.2020;10784,5
1.10.2020;10619,5
2.10.2020;10576
3.10.2020;10549,3
4.10.2020;10669,6
5.10.2020;10793,3
6.10.2020;10604,4
7.10.2020;10669
8.10.2020;10915,7
9.10.2020;11064,5
10.10.2020;11296,4
11.10.2020;11384,2
12.10.2020;11555,4
13.10.2020;11425,9
14.10.2020;11429,5
15.10.2020;11495,4
16.10.2020;11322,1
17.10.2020;11358,1
18.10.2020;11483,4
19.10.2020;11742
20.10.2020;11916,3
21.10.2020;12823,7
22.10.2020;12965,9
23.10.2020;12931,5
24.10.2020;13108,1
25.10.2020;13031,2
26.10.2020;13075,3
27.10.2020;13654,2
28.10.2020;13271,3
29.10.2020;13437,9
30.10.2020;13546,5
31.10.2020;13781
1.11.2020;13737,1
2.11.2020;13550,5
3.11.2020;13950,3
4.11.2020;14133,7
5.11.2020;15579,9
6.11.2020;15565,9
7.11.2020;14833,8
8.11.2020;15479,6
9.11.2020;15332,3
10.11.2020;15290,9
11.11.2020;15701,3
12.11.2020;16276,3
13.11.2020;16317,8
14.11.2020;16068,1
15.11.2020;15955,6
16.11.2020;16716,1
17.11.2020;17645,4
18.11.2020;17804
19.11.2020;17817,1
20.11.2020;18621,3
21.11.2020;18642,2
22.11.2020;18370
23.11.2020;18364,1
24.11.2020;19107,5
25.11.2020;18732,1
26.11.2020;17150,6
27.11.2020;17108,4
28.11.2020;17717,4
29.11.2020;18177,5
30.11.2020;19625,8
1.12.2020;18803
2.12.2020;19201,1
3.12.2020;19445,4
4.12.2020;18699,8
5.12.2020;19154,2
6.12.2020;19345,1
7.12.2020;19191,6
8.12.2020;18321,1
9.12.2020;18553,9
10.12.2020;18265
11.12.2020;18058,9
12.12.2020;18803,7
13.12.2020;19142,4
14.12.2020;19246,6
15.12.2020;19417,1
16.12.2020;21310,6
17.12.2020;22805,2
18.12.2020;23138
19.12.2020;23869,8
20.12.2020;23477,3
21.12.2020;22803,1
22.12.2020;23783
23.12.2020;23241,4
24.12.2020;23736
25.12.2020;24664,8
26.12.2020;26437
27.12.2020;26272,3
28.12.2020;27084,8
29.12.2020;27362,4
30.12.2020;28841
31.12.2020;29001,7
1.01.2021;29374,2
2.01.2021;32127,3
3.01.2021;32782
4.01.2021;31971,9
5.01.2021;33992,4
6.01.2021;36824,4
7.01.2021;39371
8.01.2021;40797,6
9.01.2021;40254,6
10.01.2021;38356,4
11.01.2021;35566,7
12.01.2021;33923
13.01.2021;37316,4
14.01.2021;39187,3
15.01.2021;36825,4
16.01.2021;36178,1
17.01.2021;35791,3
18.01.2021;36630,1
19.01.2021;36069,8
20.01.2021;35547,8
21.01.2021;30825,7
22.01.2021;33005,8
23.01.2021;32067,6
24.01.2021;32289,4
25.01.2021;32366,4
26.01.2021;32569,9
27.01.2021;30432,6
28.01.2021;33466,1
29.01.2021;34316,4
30.01.2021;34269,5
31.01.2021;33114,4
1.02.2021;33537,2
2.02.2021;35510,3
3.02.2021;37472,1
4.02.2021;36926,1
5.02.2021;38144,3
6.02.2021;39266
7.02.2021;38903,4
8.02.2021;46196,5
9.02.2021;46481,1
10.02.2021;44918,2
11.02.2021;47909,3
12.02.2021;47504,9
13.02.2021;47105,5
14.02.2021;48717,3
15.02.2021;47945,1
16.02.2021;49199,9
17.02.2021;52149
18.02.2021;51679,8
19.02.2021;55888,1
20.02.2021;56099,5
21.02.2021;57540
22.02.2021;54207,3
23.02.2021;48824,4
24.02.2021;49705,3
25.02.2021;47093,9
26.02.2021;46339,8
27.02.2021;46188,5
28.02.2021;45137,8
1.03.2021;49631,2
2.03.2021;48379
3.03.2021;50538,2
4.03.2021;48561,2
5.03.2021;48927,3
6.03.2021;48912,4
7.03.2021;51206,7
8.03.2021;52246,5
9.03.2021;54824,1
10.03.2021;56008,6
11.03.2021;57805,1
12.03.2021;57332,1
13.03.2021;61243,1
14.03.2021;59302,3
15.03.2021;55907,2
16.03.2021;56804,9
17.03.2021;58870,9
18.03.2021;57858,9
19.03.2021;58346,7
20.03.2021;58313,6
21.03.2021;57523,4
22.03.2021;54529,1
23.03.2021;54739
24.03.2021;52774,3
25.03.2021;51704,2
26.03.2021;55137,3
27.03.2021;55973,5
28.03.2021;55950,8
29.03.2021;57750,2
30.03.2021;58917,7
31.03.2021;58918,8
1.04.2021;59095,8
2.04.2021;59384,3
3.04.2021;57603,9
4.04.2021;58758,6
5.04.2021;59057,9
6.04.2021;58192,4
7.04.2021;56048,9
8.04.2021;58324
9.04.2021;58245
10.04.2021;59793,2
11.04.2021;60205
12.04.2021;59893,5
13.04.2021;63503,5
14.04.2021;63109,7
15.04.2021;63314
16.04.2021;61572,8
17.04.2021;60683,8
18.04.2021;56216,2
19.04.2021;55724,3
20.04.2021;56473
21.04.2021;53906,1
22.04.2021;51762,3
23.04.2021;51093,7
24.04.2021;50050,9
25.04.2021;49004,3
26.04.2021;54021,8
27.04.2021;55033,1
28.04.2021;54824,7
29.04.2021;53555,1
30.04.2021;57750,2
1.05.2021;57828,1
2.05.2021;56631,1
3.05.2021;57200,3
4.05.2021;53333,5
5.05.2021;57424
6.05.2021;56396,5
7.05.2021;57356,4
8.05.2021;58803,8
9.05.2021;58232,3
10.05.2021;55859,8
11.05.2021;56704,6
12.05.2021;49150,5
13.05.2021;49716,2
14.05.2021;49880,5
15.05.2021;46760,2
16.05.2021;46456,1
17.05.2021;43537,5
18.05.2021;42909,4
19.05.2021;37002,4
20.05.2021;40782,7
